=== SUMMARY STATISTICS ===
total_requests,10
unique_visitors,9
error_rate,40.0
bot_percentage,70.0
response_time_stats_summary,"{""avg"": 0.23777777777777778, ""max"": 1.5, ""min"": 0.005, ""median"": 0.066, ""p95"": 2.125, ""p99"": 2.625}"
bandwidth_stats_summary,"{""total_bytes"": 7939, ""avg_bytes_per_request"": 793.9, ""total_mb"": 0.007571220397949219, ""total_gb"": 7.393769919872284e-06}"
slow_requests_count,1

=== TOP COUNTRIES ===
Country,Hits
US,3
CZ,2
DK,1
NL,1
,1
AU,1
GB,1

=== TOP IPs ===
IP Address,Hits
94.124.105.4,2
34.196.114.170,1
82.103.139.165,1
52.44.148.203,1
98.80.130.239,1
192.168.1.100,1
10.0.0.50,1
203.0.113.42,1
172.16.0.1,1

=== STATUS CODES ===
Status Code,Count
200,4
302,2
404,2
429,1
500,1

=== TOP PATHS ===
Path,Hits
/graphql,2
"/stores/store/redirect/___store/b2b_cz/___from_store/b2b_en/uenc/aHR0cHM6Ly9tMi56bnplbGVjdHJvbmljcy5jei9jYXRhbG9nc2VhcmNoL3Jlc3VsdC9pbmRleC8_cD02NyZxPXNlbnMrZW50aWNlK3Nwb3J0K2hlcm1lcyZfX19zdG9yZT1iMmJfY3o,/",1
/index.php/mx_admin,1
/stores/store/redirect/___store/b2b_api/___from_store/b2b_en/uenc/aHR0cHM6Ly9tMi56bnplbGVjdHJvbmljcy5jei9jYXRhbG9nc2VhcmNoL3Jlc3VsdC9pbmRleC8_cD0xOSZxPXNhbXBsZStldGVybitzZWxmK2hlcm1lcyZfX19zdG9yZT1iMmJfYXBp/,1
/stores/store/switch/?___from_store=b2b_en&___store=b2b_cz,1
/api/products,1
/admin/login,1
/favicon.ico,1
/health-check,1

=== TOP BROWSERS ===
Browser,Hits
Other ,3
Amazonbot 0.1,3
PingdomBot 1.4,1
curl 7.68.0,1
Googlebot 2.1,1
Python Requests 2.28,1
